12,12,10,0
lib_materials:stone_sandstone_desert,lib_materials:stone_sandstone_desert_brick,lib_materials:stone_sandstone_desert_block,lib_materials:stone_sandstone_desert_cobble,,,,lib_materials:glass_framed_wood_screen,lib_ecology:tree_default_trunk,lib_ecology:tree_default_wood,
##
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,_____,_____,
K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,_____,K0m00,_____,_____,
K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,_____,_____,
K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,_____,_____,
K0m00,K0m00,K0m00,K0m00,_____,K0m00,K0m00,K0m00,K0m00,K0m00,_____,_____,
K0m00,K0m00,K0m00,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,_____,
K0m00,K0m00,_____,_____,_____,_____,_____,K0m00,_____,K0m00,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,S0m00,S0m00,S0m00,
K0m00,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
K0m00,TwW00,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
K0m00,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
K0m00,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
K0m00,K0m00,K0m00,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,_____,
K0m00,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
K0m00,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,S0m00,S0m00,S0m00,
K0m00,_____,_____,_____,_____,Wm0N0,_____,_____,_____,K0m00,_____,_____,
K0m00,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
K0m00,_____,_____,_____,_____,_____,_____,_____,TwN00,K0m00,_____,_____,
K0m00,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
K0m00,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,S0m00,S0m00,S0m00,
K0m00,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
K0m00,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
K0m00,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
K0m00,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
K0m00,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
K0m00,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
K0m00,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
K0m00,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
K0m00,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,K0m00,_____,
#
S0m00,C0m00,C0m00,C0m00,C0m00,C0m00,S0m00,C0m00,C0m00,C0m00,C0m00,S0m00,
K0m00,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
K0m00,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
K0m00,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
K0m00,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
K0m00,K0m00,_____,_____,_____,K0m00,K0m00,_____,_____,_____,_____,K0m00,
K0m00,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
#
S0m00,C0m00,C0m00,C0m00,C0m00,C0m00,S0m00,C0m00,C0m00,C0m00,C0m00,S0m00,
K0m00,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
K0m00,TwS00,_____,_____,_____,TwS00,K0m00,_____,_____,_____,_____,K0m00,
K0m00,_____,_____,_____,_____,_____,K0m00,TwE00,_____,_____,_____,K0m00,
K0m00,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,K0m00,Wm0N0,K0m00,K0m00,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,C0m00,C0m00,C0m00,C0m00,S0m00,
K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,_____,_____,_____,_____,K0m00,
K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,_____,_____,_____,_____,K0m00,
K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,_____,_____,_____,_____,K0m00,
K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,_____,_____,_____,_____,K0m00,
_____,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,_____,_____,_____,_____,K0m00,
_____,K0m00,_____,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,
_____,_____,_____,_____,K0m00,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,C0m00,C0m00,C0m00,C0m00,S0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,K0m00,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,K0m00,_____,_____,_____,_____,K0m00,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,K0m00,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,K0m00,K0m00,K0m00,_____,
_____,_____,_____,_____,_____,_____,_____,K0m00,_____,_____,K0m00,_____,

